code,themecode,answer,theme,QuestionCode,Question,outcome,impact,narrative
D1,theme_points_Resource_and_Economic_Development,"Vanuatu enacts a revised Investment Reform Act that prioritises landowner negotiation, biodiversity safeguards, and shared ownership models for all medium- to large-scale ventures.

",Resource and Economic Development,Q3,"A wave of foreign investment is coming into the region. How do you ensure these deals truly benefit the Pacific and align with its priorities?
","""1.6 Improved policies and legislations to promote and attract quality investment

""","Vanuatu’s Investment Reform Act of 2027 led to a 42% increase in climate-positive investments by 2045. 80% of approved ventures met strict biodiversity and cultural protection criteria. Local landholders negotiated revenue-sharing in 67% of agreements. Net FDI inflow rose without displacing traditional tenure systems.

","In South Pentecost, a bamboo processing firm proposed a partnership. The village council reviewed a “custom benefits clause” — a new legal template from the Investment Office. Instead of selling, they co-owned it. Elders retained decision power, and profits helped rebuild the cyclone shelter.

"
D2,theme_points_Resource_and_Economic_Development,"Tonga launches the “Island Micro Works” scheme — offering low-interest loans, training, and market access to rural cooperatives making eco-goods, food products, and craft tools from traditional materials.

",Resource and Economic Development,Q9,"To boost local livelihoods without harming nature, what path do you choose?

"," 1.3 Increased opportunities for sustainable diversification of Pacific economies

","By 2050, 63% of outer-island communities in Tonga launched micro-ventures in seaweed, coconut fibre, or clay goods. GDP contribution from non-tourism sectors grew from 22% in 2025 to 39%, supported by low-interest cooperative loans. Reliance on single-sector exports dropped, reducing external vulnerability.

","In Nomuka, a group of weavers began selling coconut-fibre insulation mats to eco-builders on Tongatapu. Their children joined after school, blending tradition with income. Inspired, nearby villages revived taro fermentation pits and seed-oil presses. The whole island stopped relying on seasonal tourism — and thrived year-round.

"
D3,theme_points_Resource_and_Economic_Development,"Fiji launches a “Cooperative Fast Lane” policy to support rural and women-led enterprises, including legal support, app-based tax exemptions, and public procurement incentives.

",Resource and Economic Development,Q5,Your nation grapples with urban health challenges and rural unemployment. What is your development priority?,"1.4 Strengthened policies, legislations, and mechanisms that support the development and sustainable growth of private sector

","Fiji’s national community enterprise registry reached 12,400 cooperatives by 2050. 48% were run by women, with legal status and digital accounting support. Informal vendors accessing micro-tax exemptions and training rose by 70%, and national GDP from small enterprises outpaced tourism for the first time.


","In Nausori Highlands, a young mother registered her community soap cooperative with just three other women. A local law student helped file the papers. They soon got their first bulk sale to a resort chain. What started as a stall under a breadfruit tree now paid for uniforms, bikes — and hope.

"
E1,theme_points_Climate_Change_and_Disasters,"The Solomon Islands launches a Customary Loss Registry with local leaders, while the Pacific Islands Forum creates a regional “1.5°C Story & Strategy Cohort” — training young negotiators in diplomacy, Indigenous knowledge, and non-economic loss advocacy.

",Climate Change and Disasters,Q7,"Sea levels are rising faster than expected, endangering whole villages. How do you respond?
","1.3 Increased capacity and opportunity of Pacific governments and communities to effectively address economic and non-economic loss and damage brought on by rapid, extreme, and slow onset events","By 2050, the Solomon Islands piloted the first Customary Loss Registry in the Pacific, documenting cultural, ecological, and spiritual losses tied to climate impacts. The registry shaped a new national compensation framework and directly influenced global recognition of non-economic loss. Within a decade, five Pacific countries had adopted similar protocols — and Pacific delegates secured official UN language referencing customary and spiritual loss as a legitimate climate justice concern.

","After rising tides swept away burial grounds in East Kwaio, the community turned to memory as resistance. Elders, youth, and women gathered to record the songs, rituals, and histories lost with the land. When Mere from Lau later addressed COP34, she opened with this story — not as an anecdote, but as testimony. It reframed loss and damage. Days later, “customary loss” entered the draft text. The Pacific voice had changed the global climate narrative."
E2,theme_points_Climate_Change_and_Disasters,"New Caledonia launch Climate Avenir, a regional scholarship and placement scheme sending local youth to leading technical universities in Asia and the Pacific, focused on engineering climate resilience.

",Climate Change and Disasters,Q10,"To build a climate-ready future, do you send youth abroad for advanced training or invest in preserving ancestral knowledge at home?

 ","1.2 Pacific governments and communities have developed and strengthened capacity for adapting, building resilience, and responding to climate change and disaster risks, particularly for the most vulnerable","By 2050, Climate Avenir expanded into a regionally coordinated initiative. Fifteen Pacific countries implemented legislative frameworks supporting technical climate education and disaster-readiness. Over 3,000 Indigenous youth graduated from top ocean-tech, energy, and engineering programs. Many now lead national climate teams or authored disaster risk legislation, turning education into regional resilience policy.

","In Touho, New Caledonia, Anaïs became the first in her clan to study mechanical engineering in Japan. She used to help her father fix boat motors — now she designs cyclone-ready microgrids. Instead of joining mining or administration, she built the region’s first solar-powered dock for coastal evacuation, sparking copycat efforts across the North.

"
E3,theme_points_Climate_Change_and_Disasters,"Micronesia launches “Blue Garden” pilot zones — perma-ecological mitigation sites combining coral restoration, offshore wind, and low-tech seaweed farming — co-managed by local schools, women’s collectives, and fisher cooperatives.

",Climate Change and Disasters,Q4,"The Pacific must take bold action on climate change. What do you initiate?
","1.1 Improved climate change mitigation by effective management of a just transitioning to low carbon, low emissions, and climate resilient infrastructure, development, and technology","By 2050, Micronesia’s installed renewable electricity-generating capacity rose from 40 to over 900 watts per capita, surpassing regional leaders like New Caledonia and Niue. Decentralised marine-based systems boosted energy access and resilience, reducing fossil fuel imports by 85%.

","Off the reef-lined coast of Weno, a floating micro-lab nicknamed “The Blue Garden” anchors the region’s first permaculture-powered mitigation hub. Students tend coral nurseries between turbine maintenance shifts, while elders use wind-powered desal tanks to grow kelp. The sea became a school, a pantry, and a power plant — all community-owned.

"
F1,theme_points_Ocean_and_Environment,"Launch the Pollinator Villages Network in the Cook Islands — certifying communities that protect native bees, plant nectar corridors, and revive ceremonial floral practices across five islands.

",Ocean and Environment,Q6,"Pacific youth are drifting from traditional practices, and the environment is suffering (for example, pollinators are declining). How will you revive cultural knowledge and heal nature?
","1.5 Reduced and Halted Biodiversity Loss and Risk of Extinction of Known Threatened Species, Caused by Multiple Threats on Both Terrestrial and Marine Environment

","Cook Islands’ Red List Index improved from 0.79 in 2025 to 0.87 by 2050, with native bee populations recovering in five islands. Over 70% of villages gained ""pollinator-safe"" certification, creating a visible rebound in endemic flora and reduced dependence on imported pollination inputs.

","In Mauke, when a swarm of ngakinga pua (wild stingless bees) colonised the old church roof, elders took it as a sign. Children started caring for hives in coconut husk boxes, trading stories with grandmothers about the scent of flowers once used in mourning garlands. Soon, every home had a nectar plant at the doorstep — not just for the bees, but to revive greetings with a blossom in hand. When the bees thrived, so did the memory of how to belong to land and season.

"
F2,theme_points_Ocean_and_Environment,"Niue’s Ministry of Natural Resources launches a national pilot to replace synthetic fertilisers with reef-safe seaweed biofertiliser, guided by Indigenous planting knowledge and village-led training.

",Ocean and Environment,Q9,"To boost local livelihoods without harming nature, what path do you choose?
","1.3 Improved sustainable management of agriculture and food systems

","By 2050, 92% of farms in Niue shifted to organic or low-input practices. Import volumes of synthetic fertiliser dropped to zero, while soil health indicators (nitrogen retention, organic matter) improved by 38%. The model was adopted by two other Polynesian countries.

","In Alofi’s coastal gardens, elders taught schoolchildren how to read moon calendars for planting, while seaweed was harvested weekly to brew biofertiliser. The scent of the brew was strong — but pride was stronger. Over time, “fertiliser from the reef” became a symbol of food sovereignty, and farmers began trading recipes, not brands.

"
F3,theme_points_Ocean_and_Environment,"Tonga launches the Pacific Peer Learning Platform on Climate Change, starting with a regional campaign on plastic replacement. Solomon Islands, New Caledonia, and Fiji contribute examples of cultural alternatives. The platform hosts community challenges, knowledge exchanges, and a public archive of locally driven solutions.

",Ocean and Environment,Q11,Pacific communities seek to share climate solutions region-wide. What initiative do you support?,"3.1 Strengthened regional and national frameworks for the protection, conservation, and sustainable management of the environment and biodiversity.

","By 2050, Tonga reduced coastal plastic litter by 60%. Their community-led behaviour change campaign — inspired by Pacific neighbours — replaced enforcement with shared learning. The Pacific Peer Platform now connects 12 countries exchanging local cultural alternatives to plastic, influencing new procurement and education policy across the region.

","When Tonga launched the Pacific Peer Learning Platform, it didn’t start with experts — it started with neighbours. From the Solomon Islands came stories of villages returning to banana leaf wraps. In New Caledonia, youth redesigned snack spaces so people sat and shared instead of grabbing plastic takeaway. These community-led solutions, shared through the platform, reshaped Tonga’s approach. Instead of bans, they ran storytelling festivals and village challenges. Behaviour shifted — and the plastics disappeared.

"
G1,theme_points_Technology_and_Connectivity,"Launch Ōrero o te fenua (Oral Wisdom of the Land) — a voice-based knowledge system across French Polynesia. Youth record interviews with elders using mobile devices. An LLM-powered platform tags themes like land, reef, and agriculture without transcription. Stories are indexed and accessible via natural language queries, informing territorial policy and school curricula.





",Technology and Connectivity,Q10,"To build a climate-ready future, do you send youth abroad for advanced training or invest in preserving ancestral knowledge at home?
","2.2 Improved digital literacy, skills, and capability for all Pacific peoples including vulnerable communities and marginalised groups

","By 2050, over 65% of young people in outer islands of French Polynesia accessed the Te Reo Mo’orea oral knowledge app to contribute to regional planning sessions. Local schools integrated the platform as part of civic education. Policy design in fisheries, tourism, and land use increasingly referenced audio-based consultations with elders.

","On the island of Taha’a, Hina, a 17-year-old student, visited her uncle to ask how the tides had changed since his youth. She recorded his story — complete with pauses, chants, and a warning told in metaphor. That recording became a case study in the Territorial Assembly’s coastal adaptation workshop. For the first time, elders were not ""informants"" but designers of law.

"
G2,theme_points_Technology_and_Connectivity,"Solomon Islands establishes PacificSekaNet — a solar-powered, low-emission regional intranet combining cultural archives, public services, and knowledge hubs, managed through community cooperatives and reinforced with local encryption standards.",Technology and Connectivity,Q11,"Pacific communities seek to share climate solutions region-wide. What initiative do you support?
","2.4 Strengthened cyber
security
measures
to protect
systems from
cyber threats.","By 2050, Solomon Islands ranked in the top 10 of the Global Cyber Security Index — the first Pacific country to do so. Over 60% of all digital interactions occurred via the new PacificSekaNet, a closed-loop, solar-powered intranet fostering regional data sovereignty and dramatically reducing malware attacks and misinformation risks.

","In Gizo a group of young ingenior co-created the first “Island Knowledge Node” — a solar-powered community hub running on the new PacificSekaNet. Students could access Indigenous stories, climate data, crop calendars, and health info — all in local dialects. People trusted the platform, because they built it. The network didn’t just connect — it rooted.

"
G3,theme_points_Technology_and_Connectivity,"Fund and deploy the Fiji Public Service AI & Data Fellowship — a new civil servant upskilling program that trains 200+ officers per year to use AI tools and open data for local climate response projects.

",Technology and Connectivity,Q8,"Climate risks are rising. Do you focus on grassroots resilience or bolster high-tech governance?
","2.2 Improved digital literacy, skills, and capability for all Pacific peoples including vulnerable communities and marginalised groups

","By 2050, Fiji’s digital literacy rate rose to 72%, up from 27% in 2025. The percentage of individuals who configured software doubled. Over 1,500 public servants completed AI-for-resilience training, and 40% of new climate projects used locally developed data tools. The gender gap in basic ICT skills was fully closed.

","In Ba Province, civil servants used to rely on paper records for flood response. After AI-resilience training, Litia — a district officer — used a no-code tool to set up early-warning SMS alerts during cyclone season. Her system saved lives in two villages and inspired other departments to build their own solutions. It wasn’t flashy — but it worked.

"
